BLOCK_NUMBER,BLOCK_TIMESTAMP,TX_HASH,ORIGIN_FUNCTION_SIGNATURE,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,CONTRACT_ADDRESS,POOL_NAME,EVENT_NAME,AMOUNT_IN,AMOUNT_IN_USD,AMOUNT_OUT,AMOUNT_OUT_USD,SENDER,TX_TO,EVENT_INDEX,PLATFORM,TOKEN_IN,TOKEN_OUT,SYMBOL_IN,SYMBOL_OUT,_LOG_ID
16544438,2023-02-02 23:38:11.000,0xbbe49eba96461d615e58577b628429fbee0a63931d2248dfb9a5358008dbc7b9,0x3593564c,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xe0b151833656e2f9c86b8cc53148e8033350d180,"null",Swap,4500000000000,"null",0.6211112885,1019.826980682,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,11,uniswap-v2,0x1b0cb014e4bd034d5193c94fc45cac80c6fd6542,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"null",WETH,0xbbe49eba96461d615e58577b628429fbee0a63931d2248dfb9a5358008dbc7b9-11
16544162,2023-02-02 22:42:23.000,0x36d084450299fe5bf100a545e0dd74c8c45c830a63b9970babc46389aa1042d1,0x3593564c,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xe0b151833656e2f9c86b8cc53148e8033350d180,"null",Swap,0.2,331.355799285,10326106596171,"null",0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,415,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1b0cb014e4bd034d5193c94fc45cac80c6fd6542,WETH,"null",0x36d084450299fe5bf100a545e0dd74c8c45c830a63b9970babc46389aa1042d1-415
16544161,2023-02-02 22:41:59.000,0xdfd4df8fca307689614a9e572778dc3a5e565afd3cb41d5051da35ae47c7ce92,0x3593564c,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xe0b151833656e2f9c86b8cc53148e8033350d180,"null",Swap,0.1,165.677899642,5457959853117,"null",0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,124,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1b0cb014e4bd034d5193c94fc45cac80c6fd6542,WETH,"null",0xdfd4df8fca307689614a9e572778dc3a5e565afd3cb41d5051da35ae47c7ce92-124
16544180,2023-02-02 22:45:59.000,0x64d83dde06132ffe645714de432576e8fa2a6c759563cdbe08d0aab371035df0,0x3593564c,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xe0b151833656e2f9c86b8cc53148e8033350d180,"null",Swap,0.1,165.677899642,3489356614924,"null",0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,36,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1b0cb014e4bd034d5193c94fc45cac80c6fd6542,WETH,"null",0x64d83dde06132ffe645714de432576e8fa2a6c759563cdbe08d0aab371035df0-36
12216742,2021-04-11 05:26:35.000,0x15a4ab7adeaea20190640985730e48a84f94e022e282f4498c5ca15e79459c09,0x38ed1739,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,USDC-WETH UNI-V2 LP,Swap,0.5640406215,1204.098002608,1194.270244,1197.349256622,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x85673c92f0f27a9c4d8c221f6bfefa33b716338a,164,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,WETH,USDC,0x15a4ab7adeaea20190640985730e48a84f94e022e282f4498c5ca15e79459c09-164
13723015,2021-12-01 19:53:18.000,0xe344b92b935f4caf79ae18bfd5f150a31b59e632ad2e6568d5e3fa14b522ea0b,0x791ac947,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x25a6b4a713c0bf2aed3d50cd566bf50434d1c29e,BBC DAO-WETH UNI-V2 LP,Swap,379892960,8725.785034774,1.710299169,7950.291393881,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,465,uniswap-v2,0x270719e21852e0e817c4663cc9f1567441d6eaac,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,BBC DAO,WETH,0xe344b92b935f4caf79ae18bfd5f150a31b59e632ad2e6568d5e3fa14b522ea0b-465
14323769,2022-03-05 00:41:45.000,0xaa9dd6ab742c26554ddae4d66c94af54ef2b39f34ef694ed2dc118e0d76a9418,0x5ae401dc,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xbc562bf2c1445707e5f8df66dbf8eee60cc49a59,WETH-AIR UNI-V2 LP,Swap,587463.36,"null",0.963635135,"null",0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,170,uniswap-v2,0xf725f73caee250ae384ec38bb2c77c38ef2cccea,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,AIR,WETH,0xaa9dd6ab742c26554ddae4d66c94af54ef2b39f34ef694ed2dc118e0d76a9418-170
11989465,2021-03-07 05:27:16.000,0x75d374d4544f739f71bed9f6e81264dc27592e25f933a26e63e862e80ad50230,0x5f575529,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x881d40237659c251811cec9c364ef91dc08d300c,0x795065dcc9f64b5614c407a6efdc400da6221fb0,SUSHI-WETH SLP,Swap,0.99125,1644.499625135,95.231765753,1639.933072273,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x74de5d4fcbf63e00296fd95d33236b9794016631,114,sushiswap,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,WETH,SUSHI,0x75d374d4544f739f71bed9f6e81264dc27592e25f933a26e63e862e80ad50230-114
13610859,2021-11-14 00:34:17.000,0xf449d90591fd9abf3beedf0ff11bed03f2c0b4bafaf675d3b8123dd9becf49f2,0x791ac947,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x98d677887af8a699be38ef6276f4cd84aca29d74,GM-WETH UNI-V2 LP,Swap,129705840,57134.456437024,10.140029829,47644.68991645,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,164,uniswap-v2,0xbc7250c8c3eca1dfc1728620af835fca489bfdf3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,GM,WETH,0xf449d90591fd9abf3beedf0ff11bed03f2c0b4bafaf675d3b8123dd9becf49f2-164
13580595,2021-11-09 06:27:56.000,0x66a901b3f0c7abf446a99ee5345f714ffd62fa6be0ebb0b8458482093ac0c7d2,0x7ff36ab5,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x98d677887af8a699be38ef6276f4cd84aca29d74,GM-WETH UNI-V2 LP,Swap,2,"null",270032501.722649,"null",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xe36a124caa7ee0b75a96a934499ce68dac6d9562,508,uniswap-v2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbc7250c8c3eca1dfc1728620af835fca489bfdf3,WETH,GM,0x66a901b3f0c7abf446a99ee5345f714ffd62fa6be0ebb0b8458482093ac0c7d2-508
